ニン	人
テキ	的
ネン	年
ニチ	日
ワタシ	私
モノ	者
ガツ	月
ナカ	中
ニッポン	日本
イチ	一
ナニ	何
オモイ	思い
ジブン	自分
ホウ	方
トキ	時
モンダイ	問題
ケン	見
イマ	今
カンガエル	考える
オモウ	思う
マエ	前
ダイ	第
セイ	性
ジカン	時間
カイ	会
エン	円
ニ	二
バアイ	場合
ヒツヨウ	必要
ジョウホウ	情報
カ	化
ウエ	上
コト	事
シュツ	出
ハナシ	話
ホン	本
フン	分
ジュウ	十
メ	目
カンジル	感じる
イウ	言う
キョウ	今日
カンケイ	関係
イイン	委員
ノチ	後
イエ	家
セカイ	世界
キ	気
テン	点
マン	万
シャカイ	社会
シゴト	仕事
オナジル	同じる
カズ	数
キジ	記事
オコナウ	行う
カレ	彼
ダイ	大
クニ	国
ナド	等
カイ	回
サン	三
クン	君
ホウ	法
イミ	意味
チカラ	力
イジョウ	以上
カイシャ	会社
モツ	持つ
ニンゲン	人間
オオク	多く
ライ	来
ゲンザイ	現在
キギョウ	企業
シ	氏
カン	間
カノウ	可能
ケンキュウ	研究
トウコウ	投稿
ホカ	他
コンカイ	今回
ツギ	次
コトバ	言葉
カイ	書い
ボク	僕
オオイ	多い
ケイザイ	経済
テ	手
サイキン	最近
ケッカ	結果
ド	度
エイガ	映画
センセイ	先生
セイカツ	生活
キン	金
イワ	言わ
ジダイ	時代
セイフ	政府
ヒジョウ	非常
オ	御
ミセ	店
ヨイ	良い
ナイヨウ	内容
ヒトツ	一つ
ココロ	心
ミル	見る
セツメイ	説明
シャシン	写真
キョウイク	教育
ジョセイ	女性
コドモ	子供
ホウホウ	方法
ニタイシテ	に対して
メイ	名
リヨウ	利用
スコシ	少し
ショウカイ	紹介
ギジュツ	技術
ナマエ	名前
サンカ	参加
イル	入る
オオキナ	大きな
ウケル	受ける
スキ	好き
カツドウ	活動
トウキョウ	東京
ジョウキョウ	状況
ゴ	五
ニタイスル	に対する
カンリ	管理
トクニ	特に
カンキョウ	環境
チイキ	地域
ホントウニ	本当に
ツカウ	使う
ジッサイ	実際
チュウゴク	中国
シ	市
サキ	先
キイ	聞い
ダレ	誰
コジン	個人
イケン	意見
ジョウタイ	状態
トシ	歳
ダイガク	大学
モノ	物
ソンザイ	存在
サイゴ	最後
ワライ	笑
カノジョ	彼女
リカイ	理解
ガッコウ	学校
ブブン	部分
エ	得
デンワ	電話
ヨウ	用
イク	行く
ブ	部
ケン	県
ニッキ	日記
セイド	制度
シヨウ	使用
ジギョウ	事業
シ	四
コテイ	固定
チョウサ	調査
キホン	基本
カンレン	関連
イッパン	一般
アタラシイ	新しい
カイハツ	開発
オンガク	音楽
イチバン	一番
ナイ	内
サクヒン	作品
ガワ	側
ジュウヨウ	重要
デキ	出来
タカイ	高い
サイショ	最初
サマ	様
トオル	達
コクミン	国民
ニカンスル	に関する
ダシ	出し
チョウ	長
ミズ	水
シン	新
ジケン	事件
エイゴ	英語
トコロ	所
シツモン	質問
カタチ	形
オトコ	男
ヤク	約
シュギ	主義
シタ	下
バ	場
ヨン	読ん
リユウ	理由
シラ	知ら
カキ	書
イレル	入れる
ハジメル	始める
シャ	社
バショ	場所
キノウ	機能
コメ	米
オネガイ	お願い
ロウドウ	労働
クルマ	車
タベル	食べる
アイテ	相手
コクサイ	国際
ジシン	自身
コエ	声
ケイカク	計画
セイジ	政治
ベツ	別
ケイ	系
カン	感
オモワ	思わ
オク	億
ゴロ	頃
ゴウ	号
ニホンジン	日本人
コンゴ	今後
イエル	言える
ブンカ	文化
カラダ	体
チガウ	違う
タイヘン	大変
カレラ	彼ら
ヒョウカ	評価
ヒャク	百
タイオウ	対応
ケン	権
アタマ	頭
コ	子
ジユウ	自由
シル	知る
キノウ	昨日
オコナワ	行わ
レキシ	歴史
ゼンタイ	全体
キモチ	気持ち
ホウコク	報告
テイド	程度
モト	元
ヒトビト	人々
イイ	言い
ヨテイ	予定
ダイヒョウ	代表
ソノノチ	その後
ケイケン	経験
カタ	型
イン	員
イガイ	以外
コンネン	今年
カカク	価格
トウシ	投資
ケイエイ	経営
ミエル	見える
シゼン	自然
ショウヒン	商品
ハッピョウ	発表
モクテキ	目的
エイキョウ	影響
チホウ	地方
イッショ	一緒
メン	面
カオ	顔
センシュ	選手
ナイ	無い
ミチ	道
コドモ	子ども
ジツハ	実は
タシカ	確か
チガイ	違い
セン	千
カクニン	確認
クダサイ	下さい
ヨル	夜
タトエバ	例えば
チュウシン	中心
シジョウ	市場
オト	音
テイキョウ	提供
ジジツ	事実
チ	地
カンタン	簡単
アサ	朝
ハン	版
ガク	学
トウゼン	当然
イカ	以下
セキニン	責任
サクス	作す
ロク	六
トウリ	通り
ギロン	議論
